TIME                PID      VER  CMD
2023-09-18 21:24  11111  1.14.62  sudo zypper in libQt5Core5
2023-09-18 21:25  12143  1.14.62  sudo zypper in /home/mango/Downloads/digilent.waveforms_3.20.1.x86_64.rpm
2023-09-18 21:25  12242  1.14.62  sudo zypper rm -u libQt5Core5
2023-09-18 21:26  13628  1.14.62  sudo zypper in libQt5Gui5
2023-09-18 21:26  15008  1.14.62  sudo zypper in /home/mango/Downloads/digilent.waveforms_3.20.1.x86_64.rpm
2023-09-18 21:27  15226  1.14.62  sudo zypper rm -u libQt5Gui5
2023-09-18 21:27  16673  1.14.62  sudo zypper dup
2023-09-18 21:35   1028  1.14.64  /usr/bin/zypper -n purge-kernels
2023-09-18 21:37   3395  1.14.64  sudo zypper udp
2023-09-18 21:37   3427  1.14.64  sudo zypper dup
2023-09-18 21:37   3537  1.14.64  sudo zypper refresh
2023-09-18 21:38   3892  1.14.64  sudo zypper ref
2023-09-18 21:38   3934  1.14.64  sudo zypper dup --from packman --allow-downgrade --allow-vendor-change
2023-09-18 21:39   5889  1.14.64  sudo zypper in --from packman ffmpeg libavcodec-full vlc-codecs gstreamer-plugins-bad-codecs gstreamer-plugins-ugly-codecs gstreamer-plugins-libav libfdk-aac2 pipewire-aptx ffmpeg>=5
2023-09-18 21:39   5938  1.14.64  sudo zypper in gstreamer-plugins-good gstreamer-plugins-good-extra gstreamer-plugins-bad gstreamer-plugins-ugly
